response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Dem,35 to 49,Graduate or Professional Degree,White,Male,White,Disapp.,Reps. keep House,Favorable,Unfavorable,45 to 64,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",35 to 49,White,Polk,85 percent or higher,Cell,1,0.965,0.4936,0.2404,0.4824,2018-10-16 21:52:44
Und,50 to 64,Some college or trade school,Hispanic,Female,Hispanic,Approve,Don't know,Don't know,Don't know,45 to 64,Some College Educ.,Democratic,Female,Very likely,[DO NOT READ] Refused,Nonwhite,50 to 64,Hispanic,Lake,Less than 50 percent,Landline,0.8889,0.4501,0.9497,1.5766,0.946,2018-10-16 22:11:50
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",50 to 64,White,"Hillsborough, Trump",50 to 85 percent,Landline,1,0.7594,0.9291,0.6675,0.9443,2018-10-16 22:11:59
Dem,50 to 64,Some college or trade school,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Republican,Male,Already voted,Republican,Nonwhite,50 to 64,Other Non-White,"Hillsborough, Trump",85 percent or higher,Cell,1,0.965,0.9215,0.5939,0.9131,2018-10-16 22:12:53
Rep,35 to 49,Some college or trade school,White,Female,White,Don't know,Dems. take House,Unfavorable,Favorable,45 to 64,Some College Educ.,Republican,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",35 to 49,White,Polk,85 percent or higher,Cell,1,0.965,0.7485,0.4948,0.7314,2018-10-16 22:13:56
Rep,50 to 64,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,Lake,85 percent or higher,Cell,1,0.965,0.8479,0.3624,0.8355,2018-10-16 22:14:05
Und,35 to 49,Some college or trade school,White,Male,White,Approve,Reps. keep House,Don't know,Don't know,45 to 64,Some College Educ.,Other,Male,Not very likely,Republican,"White, No 4-Year College Degree",35 to 49,White,Polk,Less than 50 percent,Cell,0,0.4351,0.776,1.1271,0.273,2018-10-16 22:14:14
Dem,50 to 64,Some college or trade school,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Favorable,45 to 64,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,50 to 64,Hispanic,"Hillsborough, Clinton",Less than 50 percent,Cell,1,0.3723,0.861,1.754,0.9995,2018-10-16 22:16:02
Dem,50 to 64,Some college or trade school,Black,Male,Black,Disapp.,Dems. take House,Don't know,Don't know,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,50 to 64,Other Non-White,"Hillsborough, Trump",85 percent or higher,Cell,1,0.8735,0.9613,0.6797,0.9574,2018-10-16 22:17:13
Dem,18 to 34,High school,White,Male,White,Approve,Reps. keep House,Favorable,Don't know,18 to 29,High School Grad. or Less,Republican,Male,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",18 to 34,White,"Hillsborough, Clinton",Less than 50 percent,Cell,0.6667,0.2513,1.6799,5.1341,1.1989,2018-10-16 22:22:28
