response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,TXHORSERACE,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedc,educ3,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Rep,50 to 64,Some college or trade school,White,Female,White,Disapp.,Reps. keep House,Unfavorable,Unfavorable,Ted Cruz,45 to 64,Some College Educ.,Other,Female,Somewhat likely,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Inner Loop/Bellaire,50 to 85 percent,Landline,0.6667,0.8429,1.7279,1.0718,1.492
Dem,18 to 34,Bachelors' degree,Black,Male,Black,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,18 to 29,4-year College Grad.,Democratic,Male,Very likely,Democrat,Nonwhite,18 to 39,4-year College Grad.,Other Non-White,Northwest,50 to 85 percent,Cell,1,0.6121,0.9015,0.9335,0.9091
Rep,35 to 49,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,30 to 44,Postgraduate Degree,Republican,Female,Very likely,Republican,"White, 4-Year College Grads",18 to 39,Postgraduate Degree,White,Inner Loop/Bellaire,50 to 85 percent,Cell,1,0.7968,0.8596,0.5249,0.8475
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,65 and older,Postgraduate Degree,Republican,Male,Already voted,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Northwest,85 percent or higher,Cell,1,0.97,0.7018,0.3365,0.6993
Dem,35 to 49,Graduate or Professional Degree,Hispanic,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Republican,Nonwhite,40 to 64,Postgraduate Degree,Hispanic,Northwest,85 percent or higher,Landline,0.8889,0.9638,0.9058,0.489,0.886
Rep,35 to 49,Bachelors' degree,Other,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",18 to 39,4-year College Grad.,Other Non-White,Northwest,50 to 85 percent,Cell,1,0.6907,0.9884,0.9009,1.0267
Dem,50 to 64,Graduate or Professional Degree,White,Female,Hispanic,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Postgraduate Degree,Democratic,Female,[DO NOT READ] Don't know/Refused,Democrat,Nonwhite,40 to 64,Postgraduate Degree,White,Inner Loop/Bellaire,85 percent or higher,Landline,1,0.97,0.8278,0.3917,0.7934
Dem,18 to 34,Bachelors' degree,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,30 to 44,4-year College Grad.,Republican,Female,Very likely,Independent (No party),"White, 4-Year College Grads",18 to 39,4-year College Grad.,White,West,85 percent or higher,Landline,0.8889,0.9044,1.0182,0.6953,0.9887
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,30 to 44,Postgraduate Degree,Republican,Male,Already voted,Republican,"White, 4-Year College Grads",18 to 39,Postgraduate Degree,White,Northwest,50 to 85 percent,Cell,1,0.6211,0.6935,0.5486,0.7594
Dem,18 to 34,Bachelors' degree,White,Female,Black,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,18 to 29,4-year College Grad.,Democratic,Female,Almost certain,Democrat,Nonwhite,18 to 39,4-year College Grad.,White,Northwest,85 percent or higher,Landline,1,0.97,0.9687,0.5617,0.9604
Dem,65 and older,Graduate or Professional Degree,White,Female,White,Don't know,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,Postgraduate Degree,White,Northwest,85 percent or higher,Landline,1,0.97,0.7186,0.3428,0.7124
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,Ted Cruz,45 to 64,Postgraduate Degree,Other,Female,Very likely,Republican,"White, 4-Year College Grads",40 to 64,Postgraduate Degree,White,Northwest,50 to 85 percent,Cell,1,0.5877,0.8522,0.5921,0.8632
Rep,65 and older,Bachelors' degree,White,Female,White,Approve,Reps. keep House,Don't know,Favorable,Ted Cruz,65 and older,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",65 and older,4-year College Grad.,White,Inner Loop/Bellaire,50 to 85 percent,Cell,1,0.5613,1.3564,1.1117,1.4613
Und,18 to 34,Bachelors' degree,White,Female,Hispanic,Disapp.,Dems. take House,Don't know,Don't know,Beto O'Rourke,30 to 44,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),Nonwhite,18 to 39,4-year College Grad.,White,West,Less than 50 percent,Landline,1,0.4702,0.6853,0.9618,0.7636
Dem,50 to 64,Some college or trade school,White,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,Beto O'Rourke,45 to 64,Some College Educ.,Democratic,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",40 to 64,No 4-year College Degree,White,Northwest,85 percent or higher,Cell,1,0.9615,1.2265,0.7557,1.2058
