response,ager,educ,file_race,gender,race_eth,approve,genballot,hdem_fav,hrep_fav,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Rep,65 and older,Some college or trade school,Hispanic,Female,Hispanic,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,Nonwhite,65 and older,Hispanic,State Sen. 5,85 percent or higher,Landline,1,0.9637,0.7193,0.4114,0.7075
Dem,65 and older,Bachelors' degree,Hispanic,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,4-year College Grad.,Democratic,Male,Already voted,Democrat,"White, 4-Year College Grads",65 and older,Hispanic,State Sen. 8,85 percent or higher,Cell,1,0.97,0.5589,0.2478,0.5523
Rep,18 to 34,[DO NOT READ] Refused,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,30 to 44,[DO NOT READ] Don't know/Refused,Republican,Female,Already voted,Republican,"White, No 4-Year College Degree",18 to 34,White,State Sen. 5,85 percent or higher,Landline,1,0.8751,1.2748,1.5273,1.2847
Dem,65 and older,High school,White,Female,White,Disapp.,Dems. take House,Favorable,Don't know,65 and older,High School Grad. or Less,Other,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",65 and older,White,State Sen. 12,50 to 85 percent,Landline,1,0.6012,1.8927,1.9024,2.0712
Rep,50 to 64,Graduate or Professional Degree,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",50 to 64,White,State Sen. 5,85 percent or higher,Cell,0.4444,0.9299,0.7054,0.31,0.6665
Rep,50 to 64,Some college or trade school,Unknown,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Some College Educ.,Other,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,Unknown,State Sen. 8,Less than 50 percent,Cell,1,0.4621,0.985,0.8895,1.0922
Rep,65 and older,Some college or trade school,Other,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Democratic,Male,Already voted,Independent (No party),"White, No 4-Year College Degree",65 and older,Other Non-White,State Sen. 12,85 percent or higher,Landline,1,0.9178,0.9422,0.494,0.9406
Rep,35 to 49,Graduate or Professional Degree,Hispanic,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",35 to 49,Hispanic,State Sen. 5,Less than 50 percent,Landline,1,0.2704,0.5813,1.0145,0.7221
Rep,35 to 49,Bachelors' degree,White,Male,White,Approve,Reps. keep House,Don't know,Favorable,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",35 to 49,White,State Sen. 5,85 percent or higher,Cell,1,0.8688,0.7976,0.4029,0.7934
Rep,65 and older,Some college or trade school,White,Male,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Male,Already voted,Republican,"White, No 4-Year College Degree",65 and older,White,State Sen. 8,85 percent or higher,Cell,1,0.9407,0.6886,0.3973,0.6841
Rep,18 to 34,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Unfavorable,18 to 29,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",18 to 34,White,State Sen. 8,50 to 85 percent,Cell,1,0.6811,1.0535,1.0767,1.0878
Rep,65 and older,Some college or trade school,White,Female,Other,Approve,Reps. keep House,Unfavorable,Unfavorable,65 and older,Some College Educ.,Republican,Female,Very likely,Republican,Nonwhite,65 and older,White,State Sen. 5,85 percent or higher,Landline,1,0.9606,0.7922,0.4757,0.7723
Dem,50 to 64,Some college or trade school,Unknown,Female,White,Disapp.,Dems. take House,Favorable,Unfavorable,45 to 64,Some College Educ.,Democratic,Female,Already voted,Independent (No party),"White, No 4-Year College Degree",50 to 64,Unknown,State Sen. 5,50 to 85 percent,Cell,1,0.668,1.0505,0.5126,1.1222
Rep,65 and older,Some college or trade school,White,Female,White,Approve,Reps. keep House,Unfavorable,Favorable,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",65 and older,White,State Sen. 5,50 to 85 percent,Landline,1,0.685,0.7915,0.6442,0.8165
Dem,50 to 64,Some college or trade school,White,Male,Other,Disapp.,Don't know,Unfavorable,Unfavorable,45 to 64,Some College Educ.,Other,Male,Already voted,Independent (No party),Nonwhite,50 to 64,White,State Sen. 5,85 percent or higher,Cell,1,0.9527,0.8533,0.4436,0.8458
Dem,35 to 49,High school,White,Female,White,Approve,Dems. take House,Favorable,Unfavorable,30 to 44,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",35 to 49,White,State Sen. 5,Less than 50 percent,Cell,0.5556,0.2741,2.4883,7.0601,2.4444
Dem,65 and older,High school,White,Male,White,Disapp.,Dems. take House,Favorable,Unfavorable,65 and older,High School Grad. or Less,Other,Male,Very likely,Independent (No party),"White, No 4-Year College Degree",65 and older,White,State Sen. 12,85 percent or higher,Cell,1,0.9135,1.7338,1.0179,1.6873
Rep,35 to 49,Graduate or Professional Degree,Unknown,Female,Hispanic,Disapp.,Reps. keep House,Unfavorable,Favorable,45 to 64,Postgraduate Degree,Republican,Female,Very likely,Republican,Nonwhite,35 to 49,Unknown,State Sen. 5,Less than 50 percent,Cell,1,0.1066,0.7233,1.6325,0.9605
