response,ager,educ,file_race,gender,race_eth,APPKAV,approve,CHECK,FEMINISM,genballot,hdem_fav,hrep_fav,KAVASST,WOMEN,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,age_combinedb,file_race_black,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight,timestamp
Rep,50 to 64,Some college or trade school,White,Male,White,support,Approve,Support,support,Reps. keep House,Don't know,Unfavorable,Do not believe,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",50 to 64,White,Rest,50 to 85 percent,Cell,1,0.6294,0.7344,0.3611,0.7744,2018-10-01 19:52:11
Rep,18 to 34,Some college or trade school,White,Male,White,support,Approve,Support,support,Reps. keep House,Don't know,Don't know,Do not believe,agree,18 to 29,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",18 to 34,White,Rest,Less than 50 percent,Cell,1,0.1846,1.082,4.015,1.4793,2018-10-01 20:46:18
Und,18 to 34,Some college or trade school,Black,Female,Other,support,Approve,Support,oppose,Reps. keep House,Don't know,Don't know,Do not believe,agree,30 to 44,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,18 to 34,Black,Rest,50 to 85 percent,Cell,1,0.5462,1.2142,1.0283,1.3135,2018-10-01 20:47:54
Und,35 to 49,Graduate or Professional Degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Favorable,Don't know,Don't know,agree,30 to 44,Postgraduate Degree,Other,Female,Very likely,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Rest,50 to 85 percent,Cell,0.7778,0.5142,0.7024,0.3912,0.667,2018-10-01 20:55:06
Rep,18 to 34,Graduate or Professional Degree,Black,Female,Black,oppose,Disapp.,Check,support,Reps. keep House,Favorable,Favorable,Believe,agree,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Democrat,Nonwhite,18 to 34,Black,Rest,85 percent or higher,Cell,1,0.8551,0.6964,0.2774,0.6994,2018-10-01 20:55:51
Dem,18 to 34,Graduate or Professional Degree,Black,Female,Black,support,Disapp.,Check,oppose,Dems. take House,Don't know,Don't know,Believe,agree,30 to 44,Postgraduate Degree,Democratic,Female,Not at all likely,Democrat,Nonwhite,18 to 34,Black,Rest,Less than 50 percent,Cell,0.8889,0.1476,0.7022,2.8306,0.3858,2018-10-01 21:00:30
Dem,18 to 34,Some college or trade school,Black,Female,Black,oppose,Disapp.,Check,support,Dems. take House,Favorable,Don't know,Don't know,agree,18 to 29,Some College Educ.,Democratic,Female,Almost certain,Independent (No party),Nonwhite,18 to 34,Black,Rest,Less than 50 percent,Cell,1,0.2001,1.0366,4.1443,1.3905,2018-10-01 21:01:38
Rep,65 and older,Bachelors' degree,White,Female,White,support,Approve,Support,oppose,Reps. keep House,Don't know,Don't know,Do not believe,disagree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",65 and older,White,Rest,50 to 85 percent,Cell,1,0.7918,0.6835,0.2706,0.694,2018-10-01 21:02:59
Rep,35 to 49,Graduate or Professional Degree,White,Male,White,support,Approve,Check,support,Reps. keep House,Unfavorable,Don't know,Don't know,agree,30 to 44,Postgraduate Degree,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",35 to 49,White,Mecklenburg,50 to 85 percent,Cell,0.7778,0.7137,1.014,0.4777,0.9577,2018-10-01 21:09:08
Dem,50 to 64,Bachelors' degree,White,Female,White,oppose,Disapp.,Check,support,Dems. take House,Favorable,Unfavorable,Believe,agree,45 to 64,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",50 to 64,White,Mecklenburg,85 percent or higher,Cell,1,0.9944,1.0023,0.5371,0.9908,2018-10-01 21:13:38
